Column,Value,Count
배합_염료2_Red_prop,0.333333333,23
배합_염료2_Red_prop,0.666666667,8
배합_염료2_Red_prop,0.66,4
배합_염료2_Red_prop,0.666,4
배합_염료2_Red_prop,0.333,4
배합_염료2_Red_prop,0.34,4
배합_염료2_Red_prop,0.667,4
배합_염료2_Red_prop,0.6665,4
배합_염료2_Red_prop,0.33,3
배합_염료2_Red_prop,0.67,3
배합_염료2_Red_prop,0.334,3
배합_염료2_Red_prop,0.3335,3
배합_염료2_Red_prop,0.3332,2
배합_염료2_Red_prop,0.33325,2
배합_염료2_Red_prop,0.6668,2
배합_염료2_Red_prop,0.66675,2
배합_염료2_Blue_prop,0.0,3194
배합_염료2_Blue_prop,1.0,76
배합_염료2_Blue_prop,0.333333333,23
배합_염료2_Blue_prop,0.666666667,8
배합_염료2_Blue_prop,0.67,4
배합_염료2_Blue_prop,0.666,4
배합_염료2_Blue_prop,0.334,4
배합_염료2_Blue_prop,0.667,4
배합_염료2_Blue_prop,0.34,4
배합_염료2_Blue_prop,0.333,4
배합_염료2_Blue_prop,0.66,4
배합_염료2_Blue_prop,0.3335,4
배합_염료2_Blue_prop,0.33,3
배합_염료2_Blue_prop,0.6665,3
배합_염료2_Blue_prop,0.6668,2
배합_염료2_Blue_prop,0.66675,2
배합_염료2_Blue_prop,0.3332,2
배합_염료2_Blue_prop,0.33325,2
배합_염료3_Yellow_prop,0.0,2816
배합_염료3_Yellow_prop,0.333333333,124
배합_염료3_Yellow_prop,1.0,105
배합_염료3_Yellow_prop,0.666666667,40
배합_염료3_Yellow_prop,0.33,24
배합_염료3_Yellow_prop,0.334,23
배합_염료3_Yellow_prop,0.67,22
배합_염료3_Yellow_prop,0.33325,21
배합_염료3_Yellow_prop,0.66,21
배합_염료3_Yellow_prop,0.666,21
배합_염료3_Yellow_prop,0.34,21
배합_염료3_Yellow_prop,0.3335,21
배합_염료3_Yellow_prop,0.667,21
배합_염료3_Yellow_prop,0.6665,21
배합_염료3_Yellow_prop,0.66675,21
배합_염료3_Yellow_prop,0.333,19
배합_염료3_Yellow_prop,0.5,3
배합_염료3_Yellow_prop,0.3332,2
배합_염료3_Yellow_prop,0.6668,1
배합_염료3_Red_prop,0.0,2821
배합_염료3_Red_prop,0.333333333,123
배합_염료3_Red_prop,1.0,99
배합_염료3_Red_prop,0.666666667,43
배합_염료3_Red_prop,0.67,23
배합_염료3_Red_prop,0.34,23
배합_염료3_Red_prop,0.66,22
배합_염료3_Red_prop,0.3335,22
배합_염료3_Red_prop,0.334,22
배합_염료3_Red_prop,0.666,22
배합_염료3_Red_prop,0.33,21
배합_염료3_Red_prop,0.6665,21
배합_염료3_Red_prop,0.33325,20
배합_염료3_Red_prop,0.667,20
배합_염료3_Red_prop,0.333,20
배합_염료3_Red_prop,0.66675,19
배합_염료3_Red_prop,0.5,3
배합_염료3_Red_prop,0.6668,2
배합_염료3_Red_prop,0.3332,1
배합_염료3_Blue_prop,0.0,2825
배합_염료3_Blue_prop,0.333333333,123
배합_염료3_Blue_prop,1.0,102
배합_염료3_Blue_prop,0.666666667,44
배합_염료3_Blue_prop,0.67,23
배합_염료3_Blue_prop,0.33,23
배합_염료3_Blue_prop,0.666,22
배합_염료3_Blue_prop,0.66,22
배합_염료3_Blue_prop,0.34,21
배합_염료3_Blue_prop,0.333,21
배합_염료3_Blue_prop,0.6665,21
배합_염료3_Blue_prop,0.334,20
배합_염료3_Blue_prop,0.3335,20
배합_염료3_Blue_prop,0.66675,20
배합_염료3_Blue_prop,0.667,19
배합_염료3_Blue_prop,0.33325,19
배합_염료3_Blue_prop,0.3332,1
배합_염료3_Blue_prop,0.6668,1
배합_염료1_Black_prop,0.0,3205
배합_염료1_Black_prop,1.0,142
배합_염료2_Black_prop,0.0,3266
배합_염료2_Black_prop,1.0,81
배합_염료3_Black_prop,0.0,3240
배합_염료3_Black_prop,1.0,107
배합_염료1_Grey_prop,0.0,3209
배합_염료1_Grey_prop,1.0,138
배합_염료2_Grey_prop,0.0,3256
배합_염료2_Grey_prop,1.0,91
배합_염료3_Grey_prop,0.0,3237
배합_염료3_Grey_prop,1.0,110
배합_염료2_Brown_prop,0.0,3265
배합_염료2_Brown_prop,1.0,82
배합_염료1_Brown_prop,0.0,3201
배합_염료1_Brown_prop,1.0,146
배합_염료3_Brown_prop,0.0,3240
배합_염료3_Brown_prop,1.0,107
색상_L*,18.465,3
색상_L*,42.42,3
색상_L*,75.275,3
색상_L*,26.9,3
색상_L*,42.23,3
색상_L*,54.68,3
색상_L*,78.93,3
색상_L*,75.705,3
색상_L*,23.81,3
색상_L*,39.145,2
색상_L*,25.225,2
색상_L*,54.23,2
색상_L*,48.02,2
색상_L*,79.885,2
색상_L*,48.21,2
색상_L*,50.73,2
